case_id,fraud_pattern,account_channel,loss_amount_inr,hours_to_report,new_payee_flag,device_change_flag,urgency_language_flag,unusual_amount_flag,mule_flag,risk_score,amount_recovered_inr
UPI-00156,Fake Merchant,UPI,28396,13,1,0,1,1,0,63.9,4259
UPI-00157,Investment Scam,AutoPay,53187,26,0,0,0,0,0,28.5,6914
UPI-00158,Remote Access,Collect,77978,39,0,0,0,0,0,30.2,12476
UPI-00159,Phishing,QR,102769,52,0,0,1,0,0,41.9,19526
UPI-00160,Mule Account,UPI,127560,65,1,0,0,1,1,80.5,2551
UPI-00161,Social Engineering,AutoPay,152351,78,0,1,0,1,0,62.2,7618
UPI-00162,Account Takeover,Collect,177142,91,1,0,1,0,0,61.8,14171
UPI-00163,Fake Merchant,QR,201933,8,0,0,0,0,0,38.5,100966
UPI-00164,Investment Scam,UPI,226724,21,1,0,0,0,0,55.1,124698
UPI-00165,Remote Access,AutoPay,11515,34,0,0,1,1,0,47.8,1958
UPI-00166,Phishing,Collect,36306,47,0,0,0,1,0,39.4,7261
UPI-00167,Mule Account,QR,61097,60,0,0,0,0,1,49.1,1833
UPI-00168,Social Engineering,UPI,85888,73,1,1,1,0,0,70.7,5153
UPI-00169,Account Takeover,AutoPay,110679,86,0,0,0,0,0,32.4,9961
UPI-00170,Fake Merchant,Collect,135470,3,0,0,0,1,1,66.0,40641
UPI-00171,Investment Scam,QR,160261,16,1,0,1,1,0,72.7,56091
UPI-00172,Remote Access,UPI,185052,29,1,0,0,0,0,52.3,33309
UPI-00173,Phishing,AutoPay,209843,42,0,0,0,0,0,39.0,44067
UPI-00174,Mule Account,Collect,234634,55,0,0,1,0,1,70.6,9385
UPI-00175,Social Engineering,QR,19425,68,0,1,0,1,0,53.3,1360
UPI-00176,Account Takeover,UPI,44216,81,1,0,0,1,0,54.9,4422
UPI-00177,Fake Merchant,AutoPay,69007,94,0,0,1,0,0,39.6,8971
UPI-00178,Investment Scam,Collect,93798,11,0,0,0,0,0,31.3,14070
UPI-00179,Remote Access,QR,118589,24,0,0,0,0,0,32.9,22532
UPI-00180,Phishing,UPI,143380,37,1,0,1,1,0,71.6,2868
UPI-00181,Mule Account,AutoPay,168171,50,0,0,0,1,1,68.2,8409
UPI-00182,Social Engineering,Collect,192962,63,0,1,0,0,0,52.9,15437
UPI-00183,Account Takeover,QR,217753,76,0,0,1,0,0,49.5,23953
UPI-00184,Fake Merchant,UPI,2544,89,1,0,0,0,0,40.2,356
UPI-00185,Investment Scam,AutoPay,27335,6,0,0,0,1,0,38.8,13668
UPI-00186,Remote Access,Collect,52126,19,0,0,1,1,0,50.5,28669
UPI-00187,Phishing,QR,76917,32,0,0,0,0,1,50.1,2308
UPI-00188,Mule Account,UPI,101708,45,1,0,0,0,1,66.8,6102
UPI-00189,Social Engineering,AutoPay,126499,58,1,1,1,0,0,73.4,11385
UPI-00190,Account Takeover,Collect,151290,71,0,0,0,1,0,47.1,18155
UPI-00191,Fake Merchant,QR,176081,84,0,0,0,1,0,48.7,26412
UPI-00192,Investment Scam,UPI,200872,1,1,0,1,0,0,63.4,60262
UPI-00193,Remote Access,AutoPay,225663,14,0,0,0,0,0,40.0,78982
UPI-00194,Phishing,Collect,10454,27,0,0,0,0,0,25.7,418
UPI-00195,Mule Account,QR,35245,40,0,0,1,1,1,69.3,2467
UPI-00196,Social Engineering,UPI,60036,53,1,1,0,1,0,71.0,6004
UPI-00197,Account Takeover,AutoPay,84827,66,0,0,0,0,0,30.7,11028
UPI-00198,Fake Merchant,Collect,109618,79,1,0,1,0,0,57.3,17539
UPI-00199,Investment Scam,QR,134409,92,0,0,0,0,0,34.0,25538
UPI-00200,Remote Access,UPI,159200,9,1,0,0,1,0,62.6,23880
UPI-00201,Phishing,AutoPay,183991,22,0,0,1,1,0,59.3,36798
UPI-00202,Mule Account,Collect,208782,35,0,0,0,0,1,58.9,16703
UPI-00203,Social Engineering,QR,233573,48,0,1,0,0,0,55.6,25693
UPI-00204,Account Takeover,UPI,18364,61,1,0,1,0,1,71.2,2571
UPI-00205,Fake Merchant,AutoPay,43155,74,0,0,0,1,0,39.9,7336
UPI-00206,Investment Scam,Collect,67946,87,0,0,0,1,0,41.5,13589
UPI-00207,Remote Access,QR,92737,4,1,0,1,0,0,56.2,46368
UPI-00208,Phishing,UPI,117528,17,1,0,0,0,0,47.8,64640
UPI-00209,Mule Account,AutoPay,142319,30,0,0,0,0,1,54.5,12809
UPI-00210,Social Engineering,Collect,167110,43,0,1,1,1,0,73.1,20053
UPI-00211,Account Takeover,QR,191901,56,0,0,0,1,0,49.8,28785
UPI-00212,Fake Merchant,UPI,216692,69,1,0,0,0,0,54.4,39005
UPI-00213,Investment Scam,AutoPay,1483,82,0,0,1,0,0,35.1,311
UPI-00214,Remote Access,Collect,26274,95,0,0,0,0,0,26.8,1051
UPI-00215,Phishing,QR,51065,12,0,0,0,1,0,40.4,17873
UPI-00216,Mule Account,UPI,75856,25,1,0,1,1,1,87.1,7586
UPI-00217,Social Engineering,AutoPay,100647,38,0,1,0,0,0,46.7,13084
UPI-00218,Account Takeover,Collect,125438,51,0,0,0,0,0,33.4,20070
UPI-00219,Fake Merchant,QR,150229,64,0,0,1,0,0,45.0,28544
UPI-00220,Investment Scam,UPI,175020,77,1,0,0,1,0,63.7,3500
UPI-00221,Remote Access,AutoPay,199811,90,0,0,0,1,1,70.3,9991
UPI-00222,Phishing,Collect,224602,7,0,0,1,0,0,50.0,33690
UPI-00223,Mule Account,QR,9393,20,0,0,0,0,1,45.6,1879
UPI-00224,Social Engineering,UPI,34184,33,1,1,0,0,0,57.3,4786
UPI-00225,Account Takeover,AutoPay,58975,46,1,0,1,1,0,65.9,10026
UPI-00226,Fake Merchant,Collect,83766,59,0,0,0,1,0,42.6,16753
UPI-00227,Investment Scam,QR,108557,72,0,0,0,0,0,32.2,3257
UPI-00228,Remote Access,UPI,133348,85,1,0,1,0,0,58.9,8001
UPI-00229,Phishing,AutoPay,158139,2,0,0,0,0,0,35.5,79070
UPI-00230,Mule Account,Collect,182930,15,0,0,0,1,1,69.2,100612
UPI-00231,Social Engineering,QR,207721,28,0,1,1,1,0,75.8,31158
UPI-00232,Account Takeover,UPI,232512,41,1,0,0,0,0,55.5,41852
UPI-00233,Fake Merchant,AutoPay,17303,54,0,0,0,0,0,26.2,3634
UPI-00234,Investment Scam,Collect,42094,67,1,0,1,0,0,52.8,1684
UPI-00235,Remote Access,QR,66885,80,0,0,0,1,0,41.5,4682
UPI-00236,Phishing,UPI,91676,93,1,0,0,1,0,58.1,9168
UPI-00237,Mule Account,AutoPay,116467,10,0,0,1,0,1,62.8,40763
UPI-00238,Social Engineering,Collect,141258,23,0,1,0,0,1,69.4,56503
UPI-00239,Account Takeover,QR,166049,36,0,0,0,0,0,36.1,31549
UPI-00240,Fake Merchant,UPI,190840,49,1,0,1,1,0,74.7,3817
UPI-00241,Investment Scam,AutoPay,215631,62,0,0,0,1,0,51.4,10782
UPI-00242,Remote Access,Collect,240422,75,0,0,0,0,0,41.0,19234
UPI-00243,Phishing,QR,25213,88,1,0,1,0,0,51.7,2773
UPI-00244,Mule Account,UPI,50004,5,1,0,0,0,1,63.3,7501
UPI-00245,Social Engineering,AutoPay,74795,18,0,1,0,1,0,57.0,14959
UPI-00246,Account Takeover,Collect,99586,31,0,0,1,1,0,53.6,19917
UPI-00247,Fake Merchant,QR,124377,44,0,0,0,0,0,33.3,3731
UPI-00248,Investment Scam,UPI,149168,57,1,0,0,0,0,49.9,8950
UPI-00249,Remote Access,AutoPay,173959,70,0,0,1,0,0,46.6,15656
UPI-00250,Phishing,Collect,198750,83,0,0,0,1,0,50.2,23850
UPI-00251,Mule Account,QR,223541,96,0,0,0,1,1,71.9,33531
UPI-00252,Social Engineering,UPI,8332,13,1,1,1,0,0,65.6,4583
UPI-00253,Account Takeover,AutoPay,33123,26,0,0,0,0,0,27.2,6956
UPI-00254,Fake Merchant,Collect,57914,39,0,0,0,0,0,28.9,2317
UPI-00255,Investment Scam,QR,82705,52,0,0,1,1,1,72.5,5789
UPI-00256,Remote Access,UPI,107496,65,1,0,0,1,0,59.2,10750
UPI-00257,Phishing,AutoPay,132287,78,0,0,0,0,0,33.8,17197
UPI-00258,Mule Account,Collect,157078,91,0,0,1,0,1,65.5,25132
UPI-00259,Social Engineering,QR,181869,8,0,1,0,0,0,52.1,63654
UPI-00260,Account Takeover,UPI,206660,21,1,0,0,1,0,65.8,82664
UPI-00261,Fake Merchant,AutoPay,231451,34,1,0,1,1,0,77.4,11573
UPI-00262,Investment Scam,Collect,16242,47,0,0,0,0,0,26.1,1299
UPI-00263,Remote Access,QR,41033,60,0,0,0,0,0,27.7,4514
UPI-00264,Phishing,UPI,65824,73,1,0,1,0,0,54.4,9215
UPI-00265,Mule Account,AutoPay,90615,86,0,0,0,1,1,63.0,15405
UPI-00266,Social Engineering,Collect,115406,3,0,1,0,1,0,59.7,17311
UPI-00267,Account Takeover,QR,140197,16,0,0,1,0,0,44.3,28039
UPI-00268,Fake Merchant,UPI,164988,29,1,0,0,0,0,51.0,9899
UPI-00269,Investment Scam,AutoPay,189779,42,0,0,0,0,0,37.7,17080
UPI-00270,Remote Access,Collect,214570,55,1,0,1,1,0,76.3,25748
UPI-00271,Phishing,QR,239361,68,0,0,0,1,0,53.0,35904
UPI-00272,Mule Account,UPI,24152,81,1,0,0,0,1,61.6,4347
UPI-00273,Social Engineering,AutoPay,48943,94,0,1,1,0,0,53.3,10278
UPI-00274,Account Takeover,Collect,73734,11,0,0,0,0,0,29.9,40554
UPI-00275,Fake Merchant,QR,98525,24,0,0,0,1,0,43.6,6897
UPI-00276,Investment Scam,UPI,123316,37,1,0,1,1,0,70.2,12332
UPI-00277,Remote Access,AutoPay,148107,50,0,0,0,0,0,34.9,19254
UPI-00278,Phishing,Collect,172898,63,0,0,0,0,0,36.5,27664
UPI-00279,Mule Account,QR,197689,76,1,0,1,0,1,83.2,37561
UPI-00280,Social Engineering,UPI,222480,89,1,1,0,1,0,81.8,4450
UPI-00281,Account Takeover,AutoPay,7271,6,0,0,0,1,0,37.5,2545
UPI-00282,Fake Merchant,Collect,32062,19,0,0,1,0,0,37.1,12825
UPI-00283,Investment Scam,QR,56853,32,0,0,0,0,0,28.8,6254
UPI-00284,Remote Access,UPI,81644,45,1,0,0,0,0,45.4,11430
UPI-00285,Phishing,AutoPay,106435,58,0,0,1,1,0,54.1,18094
UPI-00286,Mule Account,Collect,131226,71,0,0,0,1,1,65.7,26245
UPI-00287,Social Engineering,QR,156017,84,0,1,0,0,0,50.4,4681
UPI-00288,Account Takeover,UPI,180808,1,1,0,1,0,0,62.1,27121
UPI-00289,Fake Merchant,AutoPay,205599,14,0,0,0,0,1,58.7,41120
UPI-00290,Investment Scam,Collect,230390,27,0,0,0,1,0,52.4,27647
UPI-00291,Remote Access,QR,15181,40,0,0,1,1,0,48.0,2277
UPI-00292,Phishing,UPI,39972,53,1,0,0,0,0,42.7,7195
UPI-00293,Mule Account,AutoPay,64763,66,0,0,0,0,1,49.3,13600
UPI-00294,Social Engineering,Collect,89554,79,0,1,1,0,0,56.0,3582
UPI-00295,Account Takeover,QR,114345,92,0,0,0,1,0,44.6,8004
UPI-00296,Fake Merchant,UPI,139136,9,1,0,0,1,0,61.3,76525
UPI-00297,Investment Scam,AutoPay,163927,22,1,0,1,0,0,60.9,8196
UPI-00298,Remote Access,Collect,188718,35,0,0,0,0,0,37.6,30195
UPI-00299,Phishing,QR,213509,48,0,0,0,0,0,39.2,40567
UPI-00300,Mule Account,UPI,238300,61,1,0,1,1,1,97.9,4766
